#file_name	is_signal_peptide	is_TM_peptide
../data/training_data/positive_examples/non_tm/s0.faa	1	0
../data/training_data/positive_examples/non_tm/s1.faa	1	0
../data/training_data/positive_examples/non_tm/s2.faa	1	0
../data/training_data/positive_examples/non_tm/s3.faa	1	0
../data/training_data/positive_examples/non_tm/s4.faa	1	0
../data/training_data/positive_examples/non_tm/s5.faa	1	0
../data/training_data/positive_examples/non_tm/s6.faa	1	0
../data/training_data/positive_examples/non_tm/s7.faa	1	0
../data/training_data/positive_examples/non_tm/s8.faa	1	0
../data/training_data/positive_examples/non_tm/s9.faa	1	0
../data/training_data/positive_examples/tm/m0.faa	1	1
../data/training_data/positive_examples/tm/m1.faa	1	1
../data/training_data/positive_examples/tm/m2.faa	1	1
../data/training_data/positive_examples/tm/m3.faa	1	1
../data/training_data/positive_examples/tm/m4.faa	1	1
../data/training_data/positive_examples/tm/m5.faa	1	1
../data/training_data/positive_examples/tm/m6.faa	1	1
../data/training_data/positive_examples/tm/m7.faa	1	1
../data/training_data/positive_examples/tm/m8.faa	1	1
../data/training_data/positive_examples/tm/m9.faa	1	1
../data/training_data/negative_examples/non_tm/g0.faa	0	0
../data/training_data/negative_examples/non_tm/g1.faa	0	0
../data/training_data/negative_examples/non_tm/g2.faa	0	0
../data/training_data/negative_examples/non_tm/g3.faa	0	0
../data/training_data/negative_examples/non_tm/g4.faa	0	0
../data/training_data/negative_examples/non_tm/g5.faa	0	0
../data/training_data/negative_examples/non_tm/g6.faa	0	0
../data/training_data/negative_examples/non_tm/g7.faa	0	0
../data/training_data/negative_examples/non_tm/g8.faa	0	0
../data/training_data/negative_examples/non_tm/g9.faa	0	0
../data/training_data/negative_examples/tm/t0.faa	0	1
../data/training_data/negative_examples/tm/t1.faa	0	1
../data/training_data/negative_examples/tm/t2.faa	0	1
../data/training_data/negative_examples/tm/t3.faa	0	1
../data/training_data/negative_examples/tm/t4.faa	0	1
../data/training_data/negative_examples/tm/t5.faa	0	1
../data/training_data/negative_examples/tm/t6.faa	0	1
../data/training_data/negative_examples/tm/t7.faa	0	1
../data/training_data/negative_examples/tm/t8.faa	0	1
../data/training_data/negative_examples/tm/t9.faa	0	1
